Institution Code,Inst Description,Term Code,Term Description,Session Code,Session Description,Academic Group Code,Academic Group Description,Academic Organization Code,Academic Organization Description,Department Code,Course Subject,Catalog Number,Class #,Course Description,Course Topic,Instructor Name,GPA Grades,Total Grades,Percent Majors,Avg Class Grade,Avg Student GPA,Percent A Grades,Percent B Grades,Percent C Grades,Percent D Grades,All Other Grades #,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,S,I,R,NY,NR,NC,W,WX,Other,Data Freeze Date
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,101,9848,INTRO TO THE AIR FORCE I,N/A,"O'Neill,Michael P",14,22,0,3.929,3.154,92.9,7.1,0,0,8,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,151,21380,AF LLAB I,N/A,"Williams,Jason Patton",43,52,0,4,3.364,100,0,0,0,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,201,9849,TEAM AND LDRSP FUND USAF I,N/A,"Bofferding,Steven Michael",9,14,0,3.933,3.539,100,0,0,0,5,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,301,9850,LEADING AND COMM USAF I,N/A,"Williams,Jason Patton",11,12,0,4,3.546,100,0,0,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,401,9851,NATL SEC PREP ACTV DUTY I,N/A,"Bofferding,Steven Michael",10,10,0,4,3.536,100,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,101,11355,LEADERSHIP&PERSONAL DEVELOPMNT,N/A,"Vargas,Ralph Ruegamer",25,27,0,3.948,3.029,96,4,0,0,2,16,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,101,11356,LEADERSHIP&PERSONAL DEVELOPMNT,N/A,"Vargas,Ralph Ruegamer",7,8,0,3.957,2.701,100,0,0,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,201,11358,INNOVATIVE TACTICAL LEADERSHIP,N/A,"Vargas,Ralph Ruegamer",7,7,0,4,3.608,100,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,201,11359,INNOVATIVE TACTICAL LEADERSHIP,N/A,"Vargas,Ralph Ruegamer",7,7,0,3.914,3.275,100,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,301,11362,ADAPTIVE TEAM LEADERSHIP,N/A,"Giordano,Anthony",9,9,0,4,3.407,100,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,301,13199,ADAPTIVE TEAM LEADERSHIP,N/A,"Giordano,Anthony",11,12,0,3.909,3.476,90.9,9.1,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,401,11364,DEVELOPING ADAPTIVE LEADERS,N/A,"Giordano,Anthony",24,24,0,3.904,3.604,91.7,8.3,0,0,0,18,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,ARL,School of Arts & Letters,BL-OCC,Online Class Connect,ENG,ENG-W,500,44430,TEACHING COMPOSITION,N/A,"Babb,Jacob",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,ARL,School of Arts & Letters,BL-OCC,Online Class Connect,ENG,ENG-W,600,44423,TPCS IN RHETORIC & COMPOSITION,N/A,"Popham,Susan",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,531,16041,PREDICT ANALYTICS/DATA MINING,N/A,"Newquist,Jay D.",33,38,100,3.421,3.333,57.6,36.4,0,0,7,3,10,6,9,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,INT,Intersession,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,533,20426,"DATA WAREHOUSING,MINING&VISUAL",N/A,"Li,Jie",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/21/22
IUBLA,Bloomington,4218,Fall 2021,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,533,21816,"DATA WAREHOUSING,MINING&VISUAL",N/A,"Li,Jie",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,534,16058,SIM & OPT FOR BUS ANALYTICS,N/A,"Cutshall,Rex R.",30,31,100,3.847,3.675,96.7,0,0,0,2,0,27,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,INT,Intersession,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-T,510,46633,DIGITAL ENTERPRISE BUS TECH,N/A,"Kinser,James Eric",11,11,0,3.791,3.612,90.9,0,9.1,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,INT,Intersession,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-T,514,46632,BUSINESS IN THE DIGITAL FUTURE,N/A,"Barsi Lopes,Alexandre",6,6,0,3.4,3.668,83.3,0,0,16.7,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-T,514,47220,BUSINESS IN THE DIGITAL FUTURE,N/A,"Barsi Lopes,Alexandre",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-V,594,19537,EXP CRSE FOR MBA GLB EXEC TRCK,N/A,"Thacker,Amanda",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/21/22
IUBLA,Bloomington,4218,Fall 2021,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-V,595,24929,EXP CRSE FOR MBA GLB EXEC TRCK,N/A,"Richards,Eric L.",31,31,100,3.91,3.865,87.1,12.9,0,0,0,20,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,6W1,Six Week - First,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-V,595,46314,EXP CRSE FOR MBA GLB EXEC TRCK,N/A,"Hauskrecht,Andreas",34,34,100,3.753,3.454,73.5,26.5,0,0,0,0,18,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-V,595,46318,EXP CRSE FOR MBA GLB EXEC TRCK,N/A,"Andrew,Libby R",6,6,0,3.433,3.605,33.3,66.7,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-V,596,46316,EXP CRSE FOR MBA GLB EXEC TRCK,N/A,"Shum,Daniel T",25,27,100,3.856,3.839,100,0,0,0,2,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-V,596,46317,EXP CRSE FOR MBA GLB EXEC TRCK,N/A,"Andrew,Libby R",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,1/21/22
IUBLA,Bloomington,4218,Fall 2021,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-V,597,24928,EXP CRSE FOR MBA GLB EXEC TRCK,N/A,"Richards,Eric L.",31,31,100,4,3.865,100,0,0,0,0,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-V,597,47579,EXP CRSE FOR MBA GLB EXEC TRCK,N/A,"Richards,Eric L.",31,31,100,3.887,3.865,83.9,16.1,0,0,0,9,17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-V,598,46319,EXP CRSE FOR MBA GLB EXEC TRCK,N/A,"Schlegel,Fred H",25,27,100,3.864,3.839,96,4,0,0,2,6,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,6W1,Six Week - First,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-V,599,46321,EXP CRSE FOR MBA GLB EXEC TRCK,N/A,"Andrew,Libby R",58,59,100,4,3.87,100,0,0,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,6W1,Six Week - First,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-V,599,46322,EXP CRSE FOR MBA GLB EXEC TRCK,N/A,"Andrew,Libby R",22,22,100,3.986,3.815,100,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-Z,504,24933,COMPETITIVE STRATEGY,N/A,"Richards,Eric L.",31,31,100,3.616,3.865,45.2,54.8,0,0,0,4,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/21/22
IUBLA,Bloomington,4218,Fall 2021,NON,Non Standard Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-Z,522,16059,LAW FOR GLOBAL BUSINESS,N/A,"Richards,Eric L.",25,26,100,3.848,3.839,80,20,0,0,1,13,7,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1/21/22
