"Institution Code","Inst Description","Term Code","Term Description","Session Code","Session Description","Academic Group Code","Academic Group Description","Academic Organization Code","Academic Organization Description","Department Code","Course Subject","Catalog Number","Class #","Course Description","Course Topic","Instructor Name","GPA Grades","Total Grades","Percent Majors","Avg Class Grade","Avg Student GPA","Percent A Grades","Percent B Grades","Percent C Grades","Percent D Grades","All Other Grades #","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","P","S","I","R","NY","NR","NC","W","WX","Other","Data Freeze Date"
"IUBLA","Bloomington","4238","Fall 2023","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","101","1007","INTRO TO THE AIR FORCE I","N/A","Cunningham,Daniel James","14","22","0"," 3.979"," 3.242","100.0","0.0","0.0","0.0","8","6","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0","01-19-2024"
"IUBLA","Bloomington","4238","Fall 2023","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","151","10378","AF LLAB I","N/A","O'Neill,Michael P","36","42","0"," 4.000"," 3.338","100.0","0.0","0.0","0.0","6","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","01-19-2024"
"IUBLA","Bloomington","4238","Fall 2023","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","201","1008","TEAM AND LDRSP FUND USAF I","N/A","Lu,Hsiao-Wei","12","17","0"," 3.667"," 3.151","91.7","0.0","0.0","0.0","6","10","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","4","0","01-19-2024"
"IUBLA","Bloomington","4238","Fall 2023","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","301","1009","LEADING AND COMM USAF I","N/A","O'Neill,Michael P","7","8","0"," 3.914"," 3.223","100.0","0.0","0.0","0.0","1","1","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","01-19-2024"
"IUBLA","Bloomington","4238","Fall 2023","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","401","1010","NATL SEC PREP ACTV DUTY I","N/A","Lu,Hsiao-Wei","8","8","0"," 4.000"," 3.435","100.0","0.0","0.0","0.0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-19-2024"
"IUBLA","Bloomington","4238","Fall 2023","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","101","2336","LEADERSHIP&PERSONAL DEVELOPMNT","N/A","Vargas,Ralph Ruegamer","21","29","0"," 3.829"," 3.367","85.7","14.3","0.0","0.0","8","12","4","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0","01-19-2024"
"IUBLA","Bloomington","4238","Fall 2023","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","101","2337","LEADERSHIP&PERSONAL DEVELOPMNT","N/A","Vargas,Ralph Ruegamer","10","10","0"," 3.900"," 3.302","90.0","10.0","0.0","0.0","0","7","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-19-2024"
"IUBLA","Bloomington","4238","Fall 2023","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","201","2339","INNOVATIVE TACTICAL LEADERSHIP","N/A","Vargas,Ralph Ruegamer","9","9","0"," 3.333"," 3.424","55.6","22.2","22.2","0.0","0","0","2","3","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-19-2024"
"IUBLA","Bloomington","4238","Fall 2023","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","201","2340","INNOVATIVE TACTICAL LEADERSHIP","N/A","Vargas,Ralph Ruegamer","19","20","0"," 3.784"," 3.406","73.7","26.3","0.0","0.0","1","4","9","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","01-19-2024"
"IUBLA","Bloomington","4238","Fall 2023","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","290","2342","INDEPENDENT STUDY","N/A","Giordano,Anthony","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2024"
