Institution Code,Inst Description,Term Code,Term Description,Session Code,Session Description,Academic Group Code,Academic Group Description,Academic Organization Code,Academic Organization Description,Department Code,Course Subject,Catalog Number,Class #,Course Description,Course Topic,Instructor Name,GPA Grades,Total Grades,Percent Majors,Avg Class Grade,Avg Student GPA,APCT,BPCT,CPCT,DPCT,OTHERCNT,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,S,I,R,NY,NR,NC,W,WX,Other,Data Freeze Date
IUBLA,Bloomington,4225,Summer 2022,OL1,Online Session 1,ARL,School of Arts & Letters,BL-OCC,Online Class Connect,SPAN,SPAN-T,520,14790,SPANISH WRITING AND GRAMMAR,N/A,"Badia,Mindy Stivers",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,9/9/22
IUBLA,Bloomington,4225,Summer 2022,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,531,6552,PREDICT ANALYTICS/DATA MINING,N/A,"Newquist,Jay D.",18,20,100,3.372,3.371,61.1,27.8,5.6,0,3,2,5,4,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,9/9/22
IUBLA,Bloomington,4225,Summer 2022,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,531,8470,PREDICT ANALYTICS/DATA MINING,N/A,"Newquist,Jay D.",44,45,0,3.75,3.748,75,25,0,0,1,0,22,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9/9/22
IUBLA,Bloomington,4225,Summer 2022,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,531,8471,PREDICT ANALYTICS/DATA MINING,N/A,"Newquist,Jay D.",41,43,0,3.439,3.561,73.2,17.1,0,0,6,0,23,7,7,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,9/9/22
IUBLA,Bloomington,4225,Summer 2022,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,533,6726,"DATA WAREHOUSING,MINING&VISUAL",N/A,"Li,Jie",25,27,42.3,3.236,3.537,56,28,12,0,3,4,5,5,1,3,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,9/9/22
IUBLA,Bloomington,4225,Summer 2022,NS2,Non Standard Session 2,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,533,7674,"DATA WAREHOUSING,MINING&VISUAL",N/A,"Li,Jie",6,9,0,2.667,3.162,33.3,33.3,16.7,0,4,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,9/9/22
IUBLA,Bloomington,4225,Summer 2022,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,533,8475,"DATA WAREHOUSING,MINING&VISUAL",N/A,"Li,Jie",41,42,2.4,3.441,3.699,58.5,36.6,0,2.4,2,8,8,8,9,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,9/9/22
IUBLA,Bloomington,4225,Summer 2022,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,534,36526,SIM & OPT FOR BUS ANALYTICS,N/A,"Cutshall,Rex R.",15,15,100,3.96,3.772,100,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/9/22
IUBLA,Bloomington,4225,Summer 2022,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,535,6729,VALUE THRU BUS ANALYTICS APPS,N/A,"Serex,Paul",36,37,0,3.631,3.761,72.2,27.8,0,0,1,1,12,13,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9/9/22
IUBLA,Bloomington,4225,Summer 2022,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,535,7270,VALUE THRU BUS ANALYTICS APPS,N/A,"Hill,John David",17,18,61.1,3.382,3.676,58.8,29.4,11.8,0,1,0,5,5,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9/9/22
