Institution Code,Inst Description,Term Code,Term Description,Session Code,Session Description,Academic Group Code,Academic Group Description,Academic Organization Code,Academic Organization Description,Department Code,Course Subject,Catalog Number,Class #,Course Description,Course Topic,Instructor Name,GPA Grades,Total Grades,Percent Majors,Avg Class Grade,Avg Student GPA,Percent A Grades,Percent B Grades,Percent C Grades,Percent D Grades,All Other Grades #,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,S,I,R,NY,NR,NC,W,WX,Other,Data Freeze Date
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,102,1315,INTRO TO THE AIR FORCE II,N/A,"Lu,Hsiao-Wei",12,14,0,4,3.292,100,0,0,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,152,9452,LLAB II,N/A,"O'Neill,Michael P",36,39,0,4,3.384,100,0,0,0,3,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,202,1316,TEAM AND LDRSP FUND II,N/A,"Lu,Hsiao-Wei",8,11,0,3.875,3.195,87.5,12.5,0,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,302,1317,LEADING AND COMMUNICATION II,N/A,"O'Neill,Michael P",8,8,0,4,3.408,100,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-AERO,Aerospace Studies,AERO,AERO-A,402,1318,NATL SEC/PREP ACTV DUTY II,N/A,"Lu,Hsiao-Wei",10,12,0,3.9,3.491,90,10,0,0,2,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,102,2486,FOUNDATIONS IN LEADERSHIP,N/A,"Vargas,Ralph Ruegamer",8,12,0,3.913,3.157,87.5,12.5,0,0,4,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,102,2487,FOUNDATIONS IN LEADERSHIP,N/A,"Vargas,Ralph Ruegamer",23,23,0,4,3.272,100,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,202,2489,LEADERSHIP IN CHANGING ENVIRON,LEADERSHIP AND TEAMWORK,"Vargas,Ralph Ruegamer",13,13,0,4,3.389,100,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,202,2490,LEADERSHIP IN CHANGING ENVIRON,LEADERSHIP AND TEAMWORK,"Vargas,Ralph Ruegamer",11,11,0,3.973,3.497,100,0,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,302,2492,LEADERSHIP UNDER FIRE,N/A,"Giordano,Anthony",7,7,0,4,3.601,100,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,302,2493,LEADERSHIP UNDER FIRE,N/A,"Giordano,Anthony",8,8,0,3.913,3.346,87.5,12.5,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,ADMIN,Administrative Tracking Group,BL-MIL,Military,MIL,MIL-G,402,2495,LEADERSHIP IN A COMPLEX WORLD,N/A,"Giordano,Anthony",16,16,0,3.894,3.491,87.5,12.5,0,0,0,9,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,ARL,School of Arts & Letters,BL-OCC,Online Class Connect,ENG,ENG-L,503,33736,TEACHING OF LIT IN COLLEGE,N/A,"Earley,Samantha Manchester",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,ARL,School of Arts & Letters,BL-OCC,Online Class Connect,ENG,ENG-L,653,34345,AMERICAN LITERATURE 1800-1900,N/A,"Earley,Samantha Manchester",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,531,1149,PREDICT ANALYTICS/DATA MINING,N/A,"Chen,Christopher",78,80,0,3.374,3.633,59,30.8,7.7,0,4,10,22,14,8,10,6,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,2,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,531,1150,PREDICT ANALYTICS/DATA MINING,N/A,"Newquist,Jay D.",68,74,0,3.612,3.629,73.5,23.5,0,0,8,0,30,20,14,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,533,1030,"DATA WAREHOUSING,MINING&VISUAL",N/A,"Frutiger,Michael Douglas",90,90,0,3.736,3.765,82.2,17.8,0,0,0,0,36,38,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/9/23
IUBLA,Bloomington,4232,Spring 2023,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,533,1041,"DATA WAREHOUSING,MINING&VISUAL",N/A,"Li,Jie",72,76,65.8,3.233,3.493,44.4,41.7,11.1,0,6,0,18,14,16,6,8,4,2,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0,6/9/23
