Institution Code,Inst Description,Term Code,Term Description,Session Code,Session Description,Academic Group Code,Academic Group Description,Academic Organization Code,Academic Organization Description,Department Code,Course Subject,Catalog Number,Class #,Course Description,Course Topic,Instructor Name,GPA Grades,Total Grades,Percent Majors,Avg Class Grade,Avg Student GPA,APCT,BPCT,CPCT,DPCT,OTHERCNT,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,S,I,R,NY,NR,NC,W,WX,Other,Data Freeze Date
IUBLA,Bloomington,4215,Summer 2021,O81,Online Eight Week - First,ARL,School of Arts & Letters,BL-OCC,Online Class Connect,ENG,ENG-L,635,13586,RDGS AMER ETHNIC LIT & CLTR,N/A,"Earley,Samantha Manchester",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,9/10/21
IUBLA,Bloomington,4215,Summer 2021,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,531,14896,PREDICT ANALYTICS/DATA MINING,N/A,"Newquist,Jay D.",74,80,0,3.916,3.736,89.2,10.8,0,0,6,54,12,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9/10/21
IUBLA,Bloomington,4215,Summer 2021,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,531,14897,PREDICT ANALYTICS/DATA MINING,N/A,"Newquist,Jay D.",74,76,0,3.938,3.718,94.6,5.4,0,0,2,58,8,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9/10/21
IUBLA,Bloomington,4215,Summer 2021,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,531,7209,PREDICT ANALYTICS/DATA MINING,N/A,"Acito,Franklin",23,24,100,3.587,3.635,65.2,34.8,0,0,1,0,8,7,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9/10/21
IUBLA,Bloomington,4215,Summer 2021,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,533,14901,"DATA WAREHOUSING,MINING&VISUAL",N/A,"Frutiger,Michael Douglas",72,76,0,3.622,3.715,75,22.2,2.8,0,4,0,30,24,6,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,9/10/21
IUBLA,Bloomington,4215,Summer 2021,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,533,7147,"DATA WAREHOUSING,MINING&VISUAL",N/A,"Frutiger,Michael Douglas",28,32,100,3.507,3.571,64.3,28.6,7.1,0,4,0,10,8,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9/10/21
IUBLA,Bloomington,4215,Summer 2021,NS2,Non Standard Session 2,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,533,8347,"DATA WAREHOUSING,MINING&VISUAL",N/A,"Li,Jie",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NOT AVAILABLE - SMALL CLASS SIZE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,9/10/21
IUBLA,Bloomington,4215,Summer 2021,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,534,38358,SIM & OPT FOR BUS ANALYTICS,N/A,"Blocher,James D",31,38,37.1,3.929,3.683,96.8,3.2,0,0,7,0,26,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9/10/21
IUBLA,Bloomington,4215,Summer 2021,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,534,7755,SIM & OPT FOR BUS ANALYTICS,N/A,"Blocher,James D",38,40,0,3.861,3.752,92.1,5.3,0,2.6,2,0,32,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,9/10/21
IUBLA,Bloomington,4215,Summer 2021,1,Regular Academic Session,BUS,Kelley School of Business,BL-BUEX,Business Global Executive Mgt,BUEX,BUEX-C,534,8246,SIM & OPT FOR BUS ANALYTICS,N/A,"Blocher,James D",39,40,0,3.849,3.763,92.3,2.6,5.1,0,1,0,33,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9/10/21
